Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2017,TOKUYAMA CORPORATION,Japan,Chemicals nec,-64.9,-488.7,1656238692,472412,22416432,5206076,"-79,609",355566,38881074,286939,1,1723362922
2014,AFRICAN RAINBOW MINERALS LIMITED,South Africa,Quarrying of sand and clay,-60.19,-821.43,392052501,-95336,4855153,1139350,"-16,224",2523954,120197003,"-1,550",9,520881070
2015,DIRECT LINE INSURANCE GROUP PLC,United Kingdom,Insurance and pension fundingexcept compulsory social security 66,-0.15,-0.87,6713320,-1686,"-89,595","-20,990",-295,"-2,218","-36,907",420,6,6864591
2018,LG UPLUS CORPORATION,South Korea,Post and telecommunications 64,-2.98,-49.37,317079022,-73475,4217637,988536,"-13,303","-12,167",1738259,"2,846",1,324119553
2010,BOURBON CORPORATION,Japan,Processing of Food products nec,-1.79,-48.44,21664405,-5508,288303,"-67,381",-956,"-2,489",488648,"1,443",5,22516248
2011,BT GROUP PLC,United Kingdom,Post and telecommunications 64,-1.52,-12.04,460769504,111605,6129738,1436250,"-19,829","-56,086",5886676,"17,122",0,474392566
2016,ERSTE GROUP BANK AG,Austria,Financial intermediationexcept insurance and pension funding 65,-0.25,-1.02,22847496,-5574,303304,"-71,040",-989,"-3,427",124910,"1,016",4,23355723
2010,BOVIS HOMES GROUP PLC,United Kingdom,Construction 45,-0.08,-1.15,377823,-127,"-5,078","-1,174",-20,-289,"-2,063",104,19,386471
2018,MOBIMO HOLDING AG,Switzerland,Real estate activities 70,-1.62,-5.48,3377441,-778,"-44,894","-10,520",-141,-114,"-18,728",20,0,3452596
2012,AGGREKO PLC,United Kingdom,Other service activities 93,-155.32,-645.94,3909623279,894249,51996568,12190443,162737,"-2,489",21653043,354,0,3996522455
2010,SONOCO PRODUCTS CO,United States,Paper,-10.02,-112.46,365989361,139451,4019474,906123,"-19,646",859600,41144766,125748,14,412952672
2017,TAIWAN MOBILE CO LTD,Taiwan,Post and telecommunications 64,-1.93,-12.41,74330156,-17185,988196,231240,"-3,115","-2,782",406616,656,0,75978635
2010,UNITED MICRO ELECTRONICS CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-14.24,-81.98,588917476,135156,7815726,1831830,"-24,525","-13,385",18326916,483,0,617064531
2018,JXTG HOLDINGS INC,Japan,Extraction of natural gas and services related to natural gas extractionexcluding surveying,-10.12,-219.91,9236242822,2294901,119988108,27861849,395980,15403938,98977933,374105,7,9500791427
2017,BRITISH LAND COMPANY PLC THE,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-1.84,-4.6,12806311,-2964,170341,"-39,934",-536,-488,1542382,89,1,14562868
2015,DIAMONDROCK HOSPITALITY COMPANY,United States,Financial intermediationexcept insurance and pension funding 65,-5.4,-32.08,29794135,-6937,396186,"-92,864","-1,254",-787,19975871,368,1,50267665
2018,GODREJ CONSUMER PRODUCTS LTD,India,Chemicals nec,-1.99,-10.07,17300423,-7307,202850,"-34,884",-792,163896,10446479,"2,799",4,28153832
2013,AVNETINC.,United States,Salemaintenancerepair of motor vehiclesmotor vehicles partsmotorcyclesmotor cycles parts and accessoiries,-92.53,-3037.61,23045166618,5273097,306493638,71856293,959498,"-17,308",126354773,"8,792",0,23556112433
2013,ULKER BISKUVI SANAYI A.S.,Turkey,Processing of Food products nec,-4.3,-52,41253970,-10511,545918,127329,"-3,170","-30,818",12989126,"1,069",3,54959773
2018,ADVANCED CERAMIC X CORPORATION,Taiwan,Manufacture of radiotelevision and communication equipment and apparatus 32,-5.16,-10.24,2975749,-665,"-38,735","-9,066",-121,-503,"-15,942",-64,4,3040845
2012,BRIDGESTONE CORPORATION,Japan,Manufacture of rubber and plastic products 25,-4,-42.51,1349196144,317351,18029926,4191490,"-56,950","-10,570",34323356,"24,993",1,1406100794
2016,CARREFOUR S.A.,France,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.02,-34.13,819104622,191936,10905603,2556191,"-34,605","-41,449",18285506,"13,544",2,851106367
2012,LEGRAND S.A.,France,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.76,-3.86,42835349,-14490,545343,126733,"-2,283","-28,981",928519,"13,664",18,44468035
2012,FLOWERS FOODSINC.,United States,Processing of Food products nec,-5.36,-72.36,155829465,-37254,2080396,485243,"-6,663","-10,096",4818908,"5,023",3,163263003
2014,ICF INTERNATIONALINC.,United States,Activities auxiliary to financial intermediation 67,-0.18,-2.68,1816453,-544,"-24,188","-5,650",-90,-784,"-9,932",383,14,1857256
2017,SUPERDRY PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.28,-2.71,2820065,-745,"-37,213","-8,719",-127,"-1,417","-15,329",263,8,2883352
2011,LIXIL GROUP CORPORATION,Japan,Construction 45,-1.53,-45.77,235947805,-56565,3136917,735330,"-10,029","-4,673",2535946,"5,084",3,242422183
2015,GLAXOSMITHKLINE PLC,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-1.41,-6.24,475895535,122594,6273871,1467183,"-21,146",796682,13008806,"36,914",6,497548903
2016,WHARF HOLDINGS LTD,Hong Kong,Real estate activities 70,-1,-2.72,54811250,-13425,717719,167724,"-2,327","-24,361",4103095,"1,172",2,59838730
2015,HCL TECHNOLOGIES LIMITED,India,Computer and related activities 72,-1.44,-6.53,49702769,-11386,660827,154849,"-2,072",-447,29204364,102,0,79736611
2018,SAMSUNG BIOLOGICS CO LTD,South Korea,Research and development 73,-7.37,-70.94,34710004,-9179,454843,104057,"-1,614","-23,567",182942,"5,230",4,35480976
2014,SPIRE HEALTHCARE GROUP PLC,United Kingdom,Health and social work 85,-1.09,-8.14,14281692,-3204,194458,"-43,763",-589,-673,"-76,953",137,3,14601196
2017,SUMITOMO HEAVY INDUSTRIES LTD,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.76,-10.55,43835678,-9735,596574,133068,"-1,799","-5,386",782190,371,1,45364059
2017,BANCO SANTANDER SA,Spain,Financial intermediationexcept insurance and pension funding 65,-0.12,-0.76,110222802,-30156,1476149,344842,"-5,117","-54,636",740954,"13,967",10,112860690
2010,BANQUE CANTONALE VAUDOISE,Switzerland,Financial intermediationexcept insurance and pension funding 65,-0.21,-0.73,2991776,-773,"-39,543","-9,252",-134,-682,"-55,123",262,7,3097021
2013,TAIWAN COOPERATIVE BANK,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.38,-2.23,7083508,-2274,"-89,484","-18,861",-367,"-10,961","-33,142","2,387",6,7236211
2018,GLANBIA PLC,Ireland,Processing of Food products nec,-5.83,-58.25,132846167,-31082,1774889,410634,"-5,600","-5,070",24118675,"2,704",14,159189413
2018,CAPGEMINI SE,France,Computer and related activities 72,-0.33,-3.18,44871173,-12326,597948,139484,"-2,086","-23,814",4466239,"5,837",9,50107233
2014,CANON MARKETING JAPAN INC,Japan,Salemaintenancerepair of motor vehiclesmotor vehicles partsmotorcyclesmotor cycles parts and accessoiries,-0.23,-6.16,12576024,-3173,167881,"-39,333",-556,"-2,434","-98,242",858,6,12886784
2018,DIXONS CARPHONE PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.19,-5.64,25466296,-7141,334834,"-78,423","-1,192","-18,688",137872,"3,471",11,26040974
2010,EVEREST TEXTILE COMPANY LIMITED,Taiwan,Manufacture of textiles 17,-4767.72,0,94334392,-21898,1253565,293097,"-3,938","-8,839",9948964685,312,0,10044880102
2018,SIEMENS GAMESA RENEWABLE ENERGY SA,Spain,Manufacture of machinery and equipment n.e.c. 29,-0.2,-9.4,18988847,-6761,196559,"-43,200",-881,1602173,114752,"3,701",4,20719968
2015,BEACH ENERGY LIMITED,Australia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-17.39,-100.26,4877668,-5593,"-83,734","-8,397",-728,224443,86879301,"15,821",5,92064043
2010,DAETWYLER HOLDING AG,Switzerland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.02,-15.86,13035457,-3061,174256,"-40,552",-550,-350,1202672,224,1,14456673
2010,TRANSURBAN GROUP,Australia,Other land transport,-2.93,-13.62,14957855,-3953,172358,"-39,752",-652,"-10,835",7405989,"1,112",18,22590281
2016,GREENE KING PLC,United Kingdom,Other service activities 93,-3.04,-16.06,75932183,-17550,1009766,236722,"-3,176","-2,733",654464,388,0,77856207
2016,FRASERS CENTREPOINT TRUST,Singapore,Financial intermediationexcept insurance and pension funding 65,-3.35,-6.37,4150117,-971,"-55,122","-12,918",-175,-293,"-47,482",54,1,4267024
2016,GEORG FISCHER AG,Switzerland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-5.51,-77.26,197227397,-45274,2630532,614012,"-8,229",-956,2472357,911,0,202997846
2010,TULLOW OIL PLC,United Kingdom,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-11.04,-30.62,76169634,-22591,1054121,236115,"-3,740","-49,707",490472,"16,414",14,78009967
2013,NORTHAM PLATINUM LTD,South Africa,Quarrying of sand and clay,-42.82,-295.45,135665176,-64716,1505943,363324,"-6,881",1130183,41848035,"20,415",6,180563843
2015,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation 67,-0.21,0,1169434,-257,"-14,913","-3,496",-47,-383,"-6,147",-46,6,1194724
2013,INTERCONTINENTAL HOTELS GROUP PLC,United Kingdom,Other service activities 93,-39.33,-112.37,689663522,157794,9172247,2150403,"-28,711","-1,130",47196345,161,0,748369991
2013,IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,Italy,Financial intermediationexcept insurance and pension funding 65,-4.96,-13.23,8409016,-2167,109938,"-25,652",-377,"-1,972",124337,751,5,8672708
2018,KAO CORP,Japan,Chemicals nec,-2.65,-20.04,346405317,-79433,4276164,1001881,"-13,971",1840361,11053569,"-9,432",13,364680126
2015,ASCENDAS REAL ESTATE INVESTMENT TRUST,Singapore,Financial intermediationexcept insurance and pension funding 65,-3.45,-6.68,13793539,-3237,183175,"-42,924",-582,"-1,095",2397934,203,1,16422283
2016,NAMCHOW HOLDINGS CO LTD,Taiwan,Processing of Food products nec,-10.43,-83.99,49384530,-11333,656423,153861,"-2,059",-282,2286219,109,0,52494597
2018,WIN SEMICONDUCTORS CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-9.35,-50.5,50960717,-11848,676536,158192,"-2,135","-1,806",1066778,411,1,52877601
2017,JCDECAUX SA,France,Publishingprinting and reproduction of recorded media 22,-1.13,-15.68,39900415,-10905,530936,124134,"-1,828","-19,788",552379,"4,297",10,41136089
2017,INDUSIND BANK LTD,India,Financial intermediationexcept insurance and pension funding 65,-0.61,-2.59,17263535,-4095,228951,"-53,636",-735,-812,"-94,311",445,2,17645631
2017,SHANGHAI FOSUN PHARMACEUTICAL GROUP COMPANY LIMITED,China,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-11.21,-101.01,244886085,-59751,3251011,762466,"-10,482","-22,544",67221228,"6,950",0,316206618
2014,GENTERA SAB DE CV,Mexico,Financial intermediationexcept insurance and pension funding 65,-0.48,-1.7,4754615,-1124,"-63,927","-14,759",-203,-318,"-25,952",158,2,4860740
2013,NISHIMATSU CONSTRUCTION CO LTD,Japan,Construction 45,-0.84,-75.94,19654047,-4908,261216,"-61,224",-851,-741,171735,806,5,20153916
2012,TABCORP HOLDINGS LIMITED,Australia,Recreationalcultural and sporting activities 92,-0.21,-0.82,6481415,-1570,"-88,034","-19,823",-279,-767,"-43,034",373,2,6634549
2016,ALSTRIA OFFICE REIT-AG,Germany,Financial intermediationexcept insurance and pension funding 65,-1.07,-1.86,2079613,-502,"-27,673","-6,486",-89,-333,459783,66,3,2574413
2012,LINDAB INTERNATIONAL AB,Sweden,Construction 45,-0.83,-13.54,8277457,-1888,109292,"-25,569",-343,-28,"-58,016",-39,1,8472633
2017,CATHAY PACIFIC AIRWAYS LTD,Hong Kong,Air transport 62,-24.08,0,2704665376,1515808,39475387,9167614,219266,-68,244735063,2829030,1,2996949553
2010,L BRANDS INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.11,-8.25,104148199,-24812,1385765,324785,"-4,446","-5,688",571090,"2,965",3,106461821
2018,ORACLE CORPORATION,United States,Computer and related activities 72,-0.39,-1.09,147438892,-40006,1954543,454148,"-6,845","-49,434",5564135,"19,698",9,155488305
2015,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Thailand,Post and telecommunications 64,-2.37,-7.33,99695404,-24807,1297727,301987,"-4,297","-79,032",663174,"4,296",2,102062132
2010,ELITEGROUP COMPUTER SYSTEMS COMPANY LIMITED,Taiwan,Manufacture of office machinery and computers 30,-0.67,0,15258932,-3571,202841,"-47,266",-642,"-1,002","-83,113",221,1,15597146
2010,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,United States,Chemicals nec,-3.37,-20.69,66904399,-21780,915773,190014,"-3,162",132544,20124472,"12,027",10,88280118
2018,CELLNEX TELECOM SA,Spain,Post and telecommunications 64,-6.07,-63.29,58808245,-13514,782148,183358,"-2,455",-645,446887,184,0,60237068
2015,COMMONWEALTH BANK OF AUSTRALIA,Australia,Financial intermediationexcept insurance and pension funding 65,-0.11,-0.38,31027277,-9462,415160,"-97,245","-1,528","-13,705",2726614,"6,099",14,34284893
2012,OBAYASHI CORPORATION,Japan,Construction 45,-0.39,-15.68,54503506,-14566,723984,169646,"-2,437","-3,768",1048516,"4,099",8,56462325
2014,IG GROUP HOLDINGS PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.18,-0.39,1145287,-289,"-15,248","-3,573",-50,-374,"-6,407",68,6,1171161
2010,NORITAKE CO LTD,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.8,0,17074557,-4010,227409,"-53,120",-721,-638,2082472,293,9,19442632
2018,MOBILE TELECOMMUNICATIONS COMPANY KSCP,Kuwait,Post and telecommunications 64,-7.35,-33.65,312321286,-72245,4150092,972829,"-13,052","-16,075",2132085,"1,272",0,319676392
2012,ROCKWOOL INTERNATIONAL A/S,Denmark,Construction 45,-15.27,-187.95,390393271,139081,4994947,1188411,"-18,574",-736,3757491,"42,305",0,400450205
2012,DIAMONDROCK HOSPITALITY COMPANY,United States,Financial intermediationexcept insurance and pension funding 65,-4.03,-154.92,29553473,-6843,393006,"-92,125","-1,239",-536,161994,251,1,30208967
2018,SCENTRE GROUP,Australia,Financial intermediationexcept insurance and pension funding 65,-11.53,-25.27,86824845,-20003,1154897,270757,"-3,629",-854,129090831,380,0,217365436
2017,STRAUSS GROUP LTD,Israel,Processing of Food products nec,-5.41,-61.84,48191006,-11464,619180,142682,"-2,278","-36,827",36332481,109,5,85335809
2018,TATA CONSULTANCY SERVICES LTD,India,Computer and related activities 72,-1.17,-4.7,134531193,-32724,1796153,420740,"-5,833","-1,378",69310228,"6,234",0,206092015
2013,NUVOTON TECHNOLOGY CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-9.85,-155.36,21971846,-5094,291848,"-68,322",-921,-607,120139,185,1,22458592
2018,HAULOTTE GROUP,France,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.42,-6.65,2595795,-595,"-39,450","-6,947",-110,-923,"-12,211",414,10,2655618
2018,MALAYAN BANKING BERHAD,Malaysia,Financial intermediationexcept insurance and pension funding 65,-0.22,-0.73,18336135,-5656,239006,"-55,664",-900,"-19,417",245240,"3,601",14,18898415
2010,OKI ELECTRIC INDUSTRY COMPANY LIMITED,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.31,-9.74,16200834,-3702,216337,"-50,155",-674,"-1,567",295493,83,2,16768679
2016,MINDTREE LIMITED,India,Computer and related activities 72,-0.7,-4.7,3384486,-788,"-45,008","-10,543",-142,-54,1379165,41,0,4820145
2011,UBS GROUP AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,-0.1,-0.66,37899031,-11073,497376,116095,"-1,839","-18,426",3544259,"7,091",7,42081008
2012,TAIHEIYO CEMENT CORPORATION,Japan,Quarrying of sand and clay,-43,-1072.3,3532357569,817111,46970727,11013143,147759,"-18,525",27776560,"17,746",1,3619083648
2018,CHIPOTLE MEXICAN GRILLINC,United States,Other service activities 93,-1.54,-21.28,73312158,-17222,971870,226262,"-3,095","-4,679",397849,"1,436",1,74931698
2013,JUNIPER NETWORKS INC,United States,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.64,-4.97,28226843,-7319,381366,"-87,362","-1,274","-5,663",1387041,"2,917",7,30093950
2010,CAESARS ENTERTAINMENT CORP,United States,Recreationalcultural and sporting activities 92,-3.79,-37.67,327175222,-74542,4276504,1001420,"-13,492","-10,038",1952459,"-2,562",2,334506238
2017,MICROSOFT CORPORATION,United States,Computer and related activities 72,-0.85,-2.97,697010328,158679,9182100,2151028,"-28,873",111637,59830139,"-2,187",1,768474969
2015,TRANSAT AT INC,Canada,Other service activities 93,-17.07,-1418.67,396693038,-91921,5278245,1237432,"-16,636","-91,618",34781876,"3,247",7,438187520
2011,COVANTA HOLDING CORPORATION,United States,Real estate activities 70,-78.94,-554.26,1274265156,291546,16942831,3972119,"-53,046","-1,424",6984718,299,0,1302510540
2017,BARCLAYS PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.24,-1.59,81009968,-20140,1078379,252722,"-3,529","-22,346",3688185,"4,059",5,86071210
2011,NEW GOLD INC,Canada,Mining of other non-ferrous metal ores and concentrates,-8.67,-22.54,54544169,-19782,673737,160392,"-2,588","-38,761",4079668,"5,818",16,59513279
2012,ROCHE HOLDING AKTIENGESELLSCHAFT,Switzerland,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.53,-1.6,251634040,-59089,3305544,773570,"-10,626",755814,8436945,"5,168",3,264970460
2017,KAZ MINERALS PLC,United Kingdom,Copper production,-60.94,-138.64,658448704,152068,8753955,2052410,"-27,530","-24,856",108939192,"3,100",0,778395615
2016,AF POYRY AB,Sweden,Activities auxiliary to financial intermediation 67,-0.05,-0.56,572915,-257,"-6,753","-1,478",-41,"-3,510","-2,595",498,20,587050
2018,SEMEN INDONESIA PERSERO TBK PT,Indonesia,Quarrying of sand and clay,-360.64,-2311.37,7468106507,1723591,99269004,23276781,311816,"-48,475",80385471,"21,746",0,7673099898
2010,KUMHO PETRO CHEMICAL CO LTD,South Korea,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-15.69,-137.23,776326024,202350,10178249,2371579,"-34,792",233882,4169657,"68,898",6,793447635
2015,VARIAN MEDICAL SYSTEMSINC.,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.37,-2.14,10825769,-3716,138557,"-30,870",-579,"-8,941",510367,"3,725",17,11515074
